Proposições;Ementa;Explicação;Autor;UF;Partido;Apresentação;Situação;Link;TipoSG
PL 3515/2020;Institui regras para o desligamento de trabalhadores vinculados às empresas que contratam serviços aplicativos virtuais.;;"Rubens Otoni;Maria do Rosário;Alencar Santana;Patrus Ananias;José Guimarães;Beto Faro;Rogério Correia;Paulo Teixeira;Nilto Tatto;Marcon;Erika Kokay;Professora Rosa Neide;Vander Loubet;Valmir Assunção;José Ricardo;Joseildo Ramos;Helder Salomão;Paulo Pimenta;Assis Carvalho;Arlindo Chinaglia;Bohn Gass;Afonso Florence;Frei Anastacio Ribeiro;Gleisi Hoffmann;Padre João;Alexandre Padilha;Pedro Uczai;Enio Verri;Paulão;Zeca Dirceu;Reginaldo Lopes;Célio Moura;Jorge Solla;Marília Arraes;Henrique Fontana;Benedita da Silva;Luizianne Lins;Paulo Guedes;João Daniel;José Airton Félix Cirilo;Vicentinho;Leonardo Monteiro;Airton Faleiro;Rui Falcão;Zé Carlos;Rejane Dias;Odair Cunha";"GO;RS;SP;MG;CE;PA;MG;SP;SP;RS;DF;MT;MS;BA;AM;BA;ES;RS;SP;RS;BA;PB;PR;MG;SP;SC;PR;AL;PR;MG;TO;BA;PE;RS;RJ;CE;MG;SE;CE;SP;MG;PA;SP;MA;PI;MG";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-06-26;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2256333;PL
PL 3503/2020;Altera o art. 2º da Lei nº 13.982, de 2 de abril de 2020, que trata do auxílio emergencial, para permitir a extensão de sua vigência, retirar a limitação do Imposto de Renda de 2018 e estabelecer critérios para avaliação de recursos apresentados pelos requerentes em caso de indeferimento.;;"João H. Campos;Paulo Teixeira;José Guimarães;José Ricardo;Professor Israel Batista;Vander Loubet;Valmir Assunção;Marcon;Tabata Amaral;Natália Bonavides;Erika Kokay;Frei Anastacio Ribeiro;Alessandro Molon;Jorge Solla;Patrus Ananias;Zeca Dirceu;Zé Carlos;Nilto Tatto;Célio Moura;Denis Bezerra;Professora Rosa Neide;Marcelo Nilo;Vilson da Fetaemg;Paulão;Rafael Motta;Alencar Santana;Idilvan Alencar;Bira do Pindaré;Heitor Schuch;Perpétua Almeida;Alexandre Padilha;Mauro Nazif;Afonso Florence;Camilo Capiberibe;Gonzaga Patriota;Danilo Cabral;Raul Henry;Ted Conti;Marcelo Freixo;Rejane Dias;Reginaldo Lopes;Felipe Carreras;Wolney Queiroz;Eduardo da Fonte;Helder Salomão;Eduardo Barbosa;Carlos Veras";"PE;SP;CE;AM;DF;MS;BA;RS;SP;RN;DF;PB;RJ;BA;MG;PR;MA;SP;TO;CE;MT;BA;MG;AL;RN;SP;CE;MA;RS;AC;SP;RO;BA;AP;PE;PE;PE;ES;RJ;PI;MG;PE;PE;PE;ES;MG;PE";"PSB;PT;PT;PT;PV;PT;PT;PT;PDT;PT;PT;PT;PSB;PT;PT;PT;PT;PT;PT;PSB;PT;PSB;PSB;PT;PSB;PT;PDT;PSB;PSB;PCdoB;PT;PSB;PT;PSB;PSB;PSB;MDB;PSB;PSOL;PT;PT;PSB;PDT;PP;PT;PSDB;PT";2020-06-25;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2256208;PL
PL 3464/2020;Dispõe sobre os requisitos a serem  observados para a indicação, pelo Governo  brasileiro, de cidadãos brasileiros, natos ou  naturalizados, para a ocupação de cargos de  direção em organismos multilaterais de que o  Brasil faça parte.;;"Carlos Zarattini;Enio Verri;Maria do Rosário;Carlos Veras;Marília Arraes;João Daniel;Patrus Ananias;Margarida Salomão;Beto Faro;Professora Rosa Neide;Valmir Assunção;Rogério Correia;Marcon;Afonso Florence;Arlindo Chinaglia;José Ricardo;Helder Salomão;Vicentinho;Joseildo Ramos;Airton Faleiro;Pedro Uczai;Erika Kokay;Frei Anastacio Ribeiro;Vander Loubet;Célio Moura;Alexandre Padilha;Waldenor Pereira;Paulão;Padre João;José Guimarães;Odair Cunha;Paulo Teixeira;Zé Carlos;Benedita da Silva;Luizianne Lins;Leonardo Monteiro;Henrique Fontana;Rubens Otoni;Zeca Dirceu;Zé Neto;Rui Falcão;Paulo Pimenta;Assis Carvalho;Rejane Dias;Gleisi Hoffmann;Reginaldo Lopes;Alencar Santana;José Airton Félix Cirilo;Nilto Tatto;Paulo Guedes;Jorge Solla";"SP;PR;RS;PE;PE;SE;MG;MG;PA;MT;BA;MG;RS;BA;SP;AM;ES;SP;BA;PA;SC;DF;PB;MS;TO;SP;BA;AL;MG;CE;MG;SP;MA;RJ;CE;MG;RS;GO;PR;BA;SP;RS;PI;PI;PR;MG;SP;CE;SP;MG;BA";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-06-23;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2255926;PL
PL 3438/2020;Dispõe sobre a indução de Ações Afirmativas na Pós-Graduação e dá outras providências.;;"Enio Verri;Maria do Rosário;Carlos Veras;Patrus Ananias;João Daniel;Margarida Salomão;Beto Faro;Professora Rosa Neide;Valmir Assunção;Marília Arraes;Rogério Correia;Marcon;Vicentinho;Arlindo Chinaglia;Afonso Florence;José Ricardo;Helder Salomão;Célio Moura;Joseildo Ramos;Airton Faleiro;Pedro Uczai;Erika Kokay;Frei Anastacio Ribeiro;Vander Loubet;Rejane Dias;Alexandre Padilha;Waldenor Pereira;Paulão;Padre João;José Guimarães;Odair Cunha;Zé Carlos;Paulo Teixeira;Benedita da Silva;Luizianne Lins;Henrique Fontana;Leonardo Monteiro;Nilto Tatto;Rubens Otoni;Zeca Dirceu;Zé Neto;Rui Falcão;Paulo Pimenta;Gleisi Hoffmann;Assis Carvalho;Reginaldo Lopes;Alencar Santana;José Airton Félix Cirilo;Paulo Guedes";"PR;RS;PE;MG;SE;MG;PA;MT;BA;PE;MG;RS;SP;SP;BA;AM;ES;TO;BA;PA;SC;DF;PB;MS;PI;SP;BA;AL;MG;CE;MG;MA;SP;RJ;CE;RS;MG;SP;GO;PR;BA;SP;RS;PR;PI;MG;SP;CE;MG";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-06-22;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2255792;PL
PL 3433/2020;Dispõe sobre o fortalecimento das instituições financeiras federais e de suas subsidiárias para o desenvolvimento econômico e social e para o enfrentamento de crises e emergências públicas nacionais, bem como altera a Lei nº 5.662, de 21 de junho de 1971, a Lei nº 9.491, de 9 de setembro de 1997, a Lei nº 13.303, de 30 de junho de 2016. ;;"Zé Neto;José Guimarães;Pedro Uczai;Airton Faleiro;João Daniel;Vander Loubet;Alencar Santana;Valmir Assunção;Paulo Teixeira;Professora Rosa Neide;Assis Carvalho;Rogério Correia;Patrus Ananias;Margarida Salomão;Célio Moura;Beto Faro;Marcon;Gleisi Hoffmann;José Ricardo;Paulão;Maria do Rosário;Erika Kokay;Afonso Florence;Luizianne Lins;Paulo Guedes;Carlos Veras;Henrique Fontana;Reginaldo Lopes;Zé Carlos;Waldenor Pereira;Leonardo Monteiro;Enio Verri;Frei Anastacio Ribeiro;Benedita da Silva;Nilto Tatto;Alexandre Padilha;Vicentinho;Arlindo Chinaglia;Marília Arraes;Helder Salomão;Rui Falcão;Zeca Dirceu;Rubens Otoni;Padre João;Odair Cunha";"BA;CE;SC;PA;SE;MS;SP;BA;SP;MT;PI;MG;MG;MG;TO;PA;RS;PR;AM;AL;RS;DF;BA;CE;MG;PE;RS;MG;MA;BA;MG;PR;PB;RJ;SP;SP;SP;SP;PE;ES;SP;PR;GO;MG;MG";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-06-19;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2255778;PL
PL 3402/2020;Altera a redação dada pela Lei nº 12.711, de 29 de agosto de 2012, que “Dispõe sobre o ingresso nas universidades federais e nas instituições federais de ensino técnico de nível médio e dá outras providências.”, a fim de tornar obrigatória a reserva de vagas em seus programas de pós-graduação.;;"Marília Arraes;Enio Verri;Maria do Rosário;Margarida Salomão;Carlos Veras;João Daniel;Patrus Ananias;Beto Faro;Professora Rosa Neide;Valmir Assunção;Rogério Correia;Marcon;Vicentinho;Afonso Florence;Arlindo Chinaglia;José Ricardo;Helder Salomão;Célio Moura;Joseildo Ramos;Airton Faleiro;Pedro Uczai;Erika Kokay;Vander Loubet;Frei Anastacio Ribeiro;Rejane Dias;Alexandre Padilha;Waldenor Pereira;Paulão;Padre João;José Guimarães;Odair Cunha;Zé Carlos;Paulo Teixeira;Benedita da Silva;Luizianne Lins;Henrique Fontana;Leonardo Monteiro;Nilto Tatto;Rubens Otoni;Zeca Dirceu;Zé Neto;Rui Falcão;Paulo Pimenta;Gleisi Hoffmann;Assis Carvalho;Reginaldo Lopes;Alencar Santana;José Airton Félix Cirilo;Paulo Guedes";"PE;PR;RS;MG;PE;SE;MG;PA;MT;BA;MG;RS;SP;BA;SP;AM;ES;TO;BA;PA;SC;DF;MS;PB;PI;SP;BA;AL;MG;CE;MG;MA;SP;RJ;CE;RS;MG;SP;GO;PR;BA;SP;RS;PR;PI;MG;SP;CE;MG";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-06-18;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2255581;PL
PL 3311/2020;Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, para tornar crime o registro fotográfico ou cinematográfico não autorizado em estabelecimento de saúde e o art. 7º da Lei nº 8.080, de 19 de setembro de 1990, que dispõe sobre as condições para a promoção, proteção e recuperação da saúde, a organização e o funcionamento dos serviços correspondentes e dá outras providências, para vedar o registro fotográfico ou cinematográfico não autorizado em estabelecimento de saúde.;;"Alexandre Padilha;Leonardo Monteiro;Valmir Assunção;Rogério Correia;José Ricardo;Luizianne Lins;Marília Arraes;Patrus Ananias;Nilto Tatto;Afonso Florence;Beto Faro;Helder Salomão;Waldenor Pereira;Vicentinho;Assis Carvalho;Pedro Uczai;Frei Anastacio Ribeiro;João Daniel;Carlos Veras;Paulo Guedes;Marcon;Enio Verri;Paulão;Gleisi Hoffmann;Jorge Solla;Alencar Santana;Vander Loubet;Erika Kokay;Benedita da Silva;Professora Rosa Neide;Rui Falcão;Zeca Dirceu;Padre João;Odair Cunha;Joseildo Ramos;Célio Moura";"SP;MG;BA;MG;AM;CE;PE;MG;SP;BA;PA;ES;BA;SP;PI;SC;PB;SE;PE;MG;RS;PR;AL;PR;BA;SP;MS;DF;RJ;MT;SP;PR;MG;MG;BA;TO";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-06-15;Aguardando Designação de Relator;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2255176;PL
PL 2854/2020;Institui medidas contra a disseminação de conteúdo de ódio e preconceito pela internet, bem como a disseminação de informações a respeito de tratamentos de saúde que não sejam cientificamente validados e aceitos pelo Sistema Único de Saúde ou pela Organização Mundial de Saúde e dá outras providências.;;"Maria do Rosário;Luizianne Lins;Rui Falcão;Jorge Solla;Waldenor Pereira;Paulo Teixeira;Rejane Dias;Enio Verri;Pedro Uczai;Rogério Correia;João Daniel;Valmir Assunção;Patrus Ananias;José Guimarães;Gleisi Hoffmann;Edmilson Rodrigues;Célio Moura;Rodrigo Agostinho;Padre João;Professora Rosa Neide;Leonardo Monteiro;Marília Arraes;Beto Faro;Ivan Valente;Benedita da Silva;Marcon;Alencar Santana;Perpétua Almeida;Vander Loubet;Paulão;Luiza Erundina;Erika Kokay;Paulo Pimenta;José Ricardo;João H. Campos;Helder Salomão;Professora Dorinha Seabra Rezende;Henrique Fontana;Vicentinho;Frei Anastacio Ribeiro;Alexandre Padilha;Zé Carlos;Tereza Nelma;Nilto Tatto;Carlos Veras;Zeca Dirceu;Dulce Miranda;Túlio Gadêlha;Odair Cunha;Reginaldo Lopes;Alice Portugal;Bira do Pindaré;Camilo Capiberibe;Arlindo Chinaglia;Professor Israel Batista;Carlos Zarattini;José Airton Félix Cirilo;Margarida Salomão;Bohn Gass;Airton Faleiro;Silvia Cristina;Jesus Sérgio;Renildo Calheiros;Pompeo de Mattos;Leda Sadala;Chico D'Angelo;Dagoberto Nogueira;Flávia Morais;Joseildo Ramos;Assis Carvalho;Zé Neto;Paulo Guedes;Rubens Otoni;Afonso Florence";"RS;CE;SP;BA;BA;SP;PI;PR;SC;MG;SE;BA;MG;CE;PR;PA;TO;SP;MG;MT;MG;PE;PA;SP;RJ;RS;SP;AC;MS;AL;SP;DF;RS;AM;PE;ES;TO;RS;SP;PB;SP;MA;AL;SP;PE;PR;TO;PE;MG;MG;BA;MA;AP;SP;DF;SP;CE;MG;RS;PA;RO;AC;PE;RS;AP;RJ;MS;GO;BA;PI;BA;MG;GO;BA";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PSOL;PT;PSB;PT;PT;PT;PT;PT;PSOL;PT;PT;PT;PCdoB;PT;PT;PSOL;PT;PT;PT;PSB;PT;DEM;PT;PT;PT;PT;PT;PSDB;PT;PT;PT;MDB;PDT;PT;PT;PCdoB;PSB;PSB;PT;PV;PT;PT;PT;PT;PT;PDT;PDT;PCdoB;PDT;AVANTE;PDT;PDT;PDT;PT;PT;PT;PT;PT;PT";2020-05-25;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2253608;PL
PL 2844/2020;Determina a aplicação de multas, suspensão de isenções fiscais e financiamentos por bancos públicos, além da proibição de contratação pelo Poder Público de pessoas jurídicas que propagam, estimulam ou anunciam, direta ou indiretamente, notícias falsas (Fake News) em veículos de comunicação. ;;"Joseildo Ramos;Enio Verri;Beto Faro;Helder Salomão;Afonso Florence;Bohn Gass;Henrique Fontana;Alexandre Padilha;Carlos Veras;João Daniel;Arlindo Chinaglia;Carlos Zarattini;Jorge Solla;Airton Faleiro;Célio Moura;José Airton Félix Cirilo;Alencar Santana;Erika Kokay;José Guimarães;Assis Carvalho;Frei Anastacio Ribeiro;José Ricardo;Benedita da Silva;Gleisi Hoffmann;Leonardo Monteiro;Patrus Ananias;Rubens Otoni;Luizianne Lins;Paulão;Rui Falcão;Marcon;Paulo Guedes;Valmir Assunção;Margarida Salomão;Paulo Pimenta;Vander Loubet;Maria do Rosário;Paulo Teixeira;Vicentinho;Marília Arraes;Pedro Uczai;Waldenor Pereira;Professora Rosa Neide;Zé Carlos;Nilto Tatto;Reginaldo Lopes;Zé Neto;Odair Cunha;Rejane Dias;Zeca Dirceu;Padre João;Rogério Correia;Jandira Feghali;Marcelo Nilo;Túlio Gadêlha";"BA;PR;PA;ES;BA;RS;RS;SP;PE;SE;SP;SP;BA;PA;TO;CE;SP;DF;CE;PI;PB;AM;RJ;PR;MG;MG;GO;CE;AL;SP;RS;MG;BA;MG;RS;MS;RS;SP;SP;PE;SC;BA;MT;MA;SP;MG;BA;MG;PI;PR;MG;MG;RJ;BA;PE";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PCdoB;PSB;PDT";2020-05-22;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2253576;PL
PL 2820/2020;Altera a Lei nº 13.979, de 6 de fevereiro de 2020, para determinar a obrigatoriedade de sinalização visual do distanciamento mínimo entre pessoas em filas formadas em estabelecimentos comerciais, bancos, lotéricas e outros.;;Zeca Dirceu;PR;PT;2020-05-21;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2253450;PL
PL 2772/2020;Altera a Lei nº 13.979, de 6 de fevereiro de 2020, para assegurar a participação do país em iniciativas internacionais para o desenvolvimento, produção e acesso a diagnósticos, medicamentos, tratamentos, testes, vacinas ou outras alternativas terapêuticas, diagnósticas e preventivas contra a Covid-19. ;;"Alencar Santana;Erika Kokay;Padre João;José Ricardo;Enio Verri;José Airton Félix Cirilo;Professora Rosa Neide;Rubens Otoni;Patrus Ananias;Valmir Assunção;José Guimarães;Beto Faro;Pedro Uczai;Alexandre Padilha;Airton Faleiro;Arlindo Chinaglia;Odair Cunha;Marília Arraes;Paulão;Afonso Florence;Luizianne Lins;Marcon;Rogério Correia;Frei Anastacio Ribeiro;Rui Falcão;Célio Moura;Maria do Rosário;Waldenor Pereira;Gleisi Hoffmann;Paulo Teixeira;Jorge Solla;Zé Carlos;Benedita da Silva;Zeca Dirceu;Nilto Tatto;Paulo Pimenta;Carlos Veras";"SP;DF;MG;AM;PR;CE;MT;GO;MG;BA;CE;PA;SC;SP;PA;SP;MG;PE;AL;BA;CE;RS;MG;PB;SP;TO;RS;BA;PR;SP;BA;MA;RJ;PR;SP;RS;PE";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-05-20;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2253031;PL
PL 2761/2020;Inclui § 1º-A ao art. 44 da Lei nº 9.394, de 20 de dezembro de 1996, para prever a prorrogação automática de prazos para provas, exames e demais atividade para acesso ao ensino superior em caso de reconhecimento de estado de calamidade pelo Congresso Nacional ou de comprometimento do regular funcionamento das instituições de ensino do país. ;;"João Daniel;Valmir Assunção;Paulo Teixeira;Professora Rosa Neide;Gleisi Hoffmann;Luizianne Lins;Carlos Veras;Patrus Ananias;Célio Moura;Alencar Santana;Paulão;Beto Faro;Natália Bonavides;Maria do Rosário;Marcon;José Ricardo;Rogério Correia;Reginaldo Lopes;Erika Kokay;Margarida Salomão;Rui Falcão;Frei Anastacio Ribeiro;Vicentinho;Leonardo Monteiro;Enio Verri;Benedita da Silva;Rejane Dias;Marília Arraes;Henrique Fontana;Alexandre Padilha;Waldenor Pereira;Airton Faleiro;Pedro Uczai;Zé Carlos;Vander Loubet;Jorge Solla;Afonso Florence;Helder Salomão;Nilto Tatto;José Guimarães;Arlindo Chinaglia;Padre João;Paulo Pimenta;Paulo Guedes;Zeca Dirceu;Rubens Otoni";"SE;BA;SP;MT;PR;CE;PE;MG;TO;SP;AL;PA;RN;RS;RS;AM;MG;MG;DF;MG;SP;PB;SP;MG;PR;RJ;PI;PE;RS;SP;BA;PA;SC;MA;MS;BA;BA;ES;SP;CE;SP;MG;RS;MG;PR;GO";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-05-19;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2253000;PL
PL 2752/2020;Altera a Lei n° 13.982, de 2 de abril de 2020, para descentralizar o pagamento do Auxílio Emergencial durante período de enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus (Covid-19) e dá outras providências.;;"Erika Kokay;José Ricardo;Rogério Correia;Nilto Tatto;Maria do Rosário;Professora Rosa Neide;Padre João;Carlos Veras;Enio Verri;Benedita da Silva;Helder Salomão;Paulo Teixeira;Reginaldo Lopes;Jorge Solla;Zé Neto;Zeca Dirceu;Joseildo Ramos;Waldenor Pereira;José Guimarães";"DF;AM;MG;SP;RS;MT;MG;PE;PR;RJ;ES;SP;MG;BA;BA;PR;BA;BA;CE";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-05-19;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252950;PL
PL 2726/2020;Determina aos órgãos integrantes do Sistema Único de Saúde e instituições privadas de assistência à saúde a inclusão nos registros de pessoas suspeitas de contaminação, contaminadas, hospitalizadas e falecidas por Covid-19 de marcador étnico-racial conforme as categorias do Instituto Brasileiro de Geografia e Estatística, de localização e de gênero, para a produção de dados oficiais de contaminação e mortalidade pela Covid-19 e que tais dados passem a fazer parte da apresentação pública dos dados de infecção e mortalidade.   ;;"Alexandre Padilha;Enio Verri;Professora Rosa Neide;Natália Bonavides;Pedro Uczai;Rogério Correia;Nilto Tatto;João Daniel;Patrus Ananias;Maria do Rosário;Luizianne Lins;Carlos Veras;Afonso Florence;Paulão;Alencar Santana;Beto Faro;Jorge Solla;Joseildo Ramos;Waldenor Pereira;José Guimarães;Carlos Zarattini;Airton Faleiro;Rubens Otoni;Frei Anastacio Ribeiro;Valmir Assunção;José Ricardo;Paulo Pimenta;Arlindo Chinaglia;Henrique Fontana;Margarida Salomão;Odair Cunha;Benedita da Silva;Reginaldo Lopes;Padre João;Marcon;Célio Moura;Marília Arraes;Vicentinho;Vander Loubet;Paulo Teixeira;Paulo Guedes;Erika Kokay;Leonardo Monteiro;Rejane Dias;Gleisi Hoffmann;Rui Falcão;Helder Salomão;Bohn Gass;Zé Carlos;Assis Carvalho;Zeca Dirceu;Zé Neto";"SP;PR;MT;RN;SC;MG;SP;SE;MG;RS;CE;PE;BA;AL;SP;PA;BA;BA;BA;CE;SP;PA;GO;PB;BA;AM;RS;SP;RS;MG;MG;RJ;MG;MG;RS;TO;PE;SP;MS;SP;MG;DF;MG;PI;PR;SP;ES;RS;MA;PI;PR;BA";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-05-18;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252866;PL
PL 2652/2020;Concede pensão especial aos dependentes da pessoa falecida pelo Covid-19, e dá outras providências;;"José Airton Félix Cirilo;José Guimarães;Enio Verri;Rubens Otoni;Célio Moura;José Ricardo;Pedro Uczai;Nilto Tatto;Rogério Correia;Erika Kokay;Airton Faleiro;Patrus Ananias;Paulão;Maria do Rosário;Waldenor Pereira;Vicentinho;Marcon;Zé Carlos;Professora Rosa Neide;Padre João;Frei Anastacio Ribeiro;Natália Bonavides;Leonardo Monteiro;Margarida Salomão;Afonso Florence;Carlos Veras;Valmir Assunção;Rejane Dias;Rui Falcão;Alencar Santana;Paulo Pimenta;Luizianne Lins;Beto Faro;Benedita da Silva;Vander Loubet;Arlindo Chinaglia;Bohn Gass;Helder Salomão;Paulo Teixeira;Gleisi Hoffmann;Reginaldo Lopes;Jorge Solla;João Daniel;Assis Carvalho;Zé Neto;Zeca Dirceu;Carlos Zarattini;Joseildo Ramos;Paulo Guedes;Henrique Fontana";"CE;CE;PR;GO;TO;AM;SC;SP;MG;DF;PA;MG;AL;RS;BA;SP;RS;MA;MT;MG;PB;RN;MG;MG;BA;PE;BA;PI;SP;SP;RS;CE;PA;RJ;MS;SP;RS;ES;SP;PR;MG;BA;SE;PI;BA;PR;SP;BA;MG;RS";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-05-14;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252662;PL
PL 2632/2020;Altera a Lei nº 13.982, de 2 de abril de 2020, para tornar permanente o período de concessão do auxílio emergencial.;;"Enio Verri;Maria do Rosário;Célio Moura;Beto Faro;Rogério Correia;Airton Faleiro;Rubens Otoni;João Daniel;Paulo Teixeira;Vicentinho;Paulo Guedes;Natália Bonavides;Paulão;Alencar Santana;Padre João;Pedro Uczai;Valmir Assunção;Joseildo Ramos;Jorge Solla;Carlos Zarattini;Marcon;Vander Loubet;Carlos Veras;Helder Salomão;Alexandre Padilha;Bohn Gass;Erika Kokay;Professora Rosa Neide;Frei Anastacio Ribeiro;José Airton Félix Cirilo;Margarida Salomão;Patrus Ananias;Benedita da Silva;Nilto Tatto;Assis Carvalho;José Ricardo;Luizianne Lins;Arlindo Chinaglia;Zeca Dirceu;Paulo Pimenta;Zé Neto;Afonso Florence;Gleisi Hoffmann;Leonardo Monteiro;Rejane Dias;Reginaldo Lopes;Henrique Fontana;Waldenor Pereira;José Guimarães;Marília Arraes;Zé Carlos;Rui Falcão;Odair Cunha";"PR;RS;TO;PA;MG;PA;GO;SE;SP;SP;MG;RN;AL;SP;MG;SC;BA;BA;BA;SP;RS;MS;PE;ES;SP;RS;DF;MT;PB;CE;MG;MG;RJ;SP;PI;AM;CE;SP;PR;RS;BA;BA;PR;MG;PI;MG;RS;BA;CE;PE;MA;SP;MG";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-05-14;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2252586;PL
